model		interface	capacity		buffer_size	rpm
WD200MFYYG	SAS 6 Gb/s	2000.802		32	7200
WD2001FYYG	SAS 6 Gb/s	2000.802		32	7200
WD2000FYYG	SAS 6 Gb/s	2000.802		32	7200
WD1001FYYG	SAS 6 Gb/s	1000.204		32	7200
WD1000FYYG	SAS 6 Gb/s	1000.204		32	7200

WD200MFYYZ	SATA 6 Gb/s	2000.802		64	7200
WD4000F9YZ	SATA 6 Gb/s	4000			64	7200
WD3000F9YZ	SATA 6 Gb/s	3000.592		64	7200
WD2000F9YZ	SATA 6 Gb/s	2000.802		64	7200
WD1002F9YZ	SATA 6 Gb/s	1000.204		64	7200

WD6000BLHX	SATA 6 Gb/s	600.127			32	10000
WD4500BLHX	SATA 6 Gb/s	450.098			32	10000
WD3000BLHX	SATA 6 Gb/s	300.069			32	10000
WD1500BLHX	SATA 6 Gb/s	150.039			32	10000
WD1500BLFS	SATA 3 Gb/s	150.039			16	10000
WD1500HLFS	SATA 3 Gb/s	150.039			16	10000
WD3000BLFS	SATA 3 Gb/s	300.069			16	10000
WD3000HLFS	SATA 3 Gb/s	300.069			16	10000
WD740BLFS	SATA 3 Gb/s	74.355			16	10000
WD740HLFS	SATA 3 Gb/s	74.355			16	10000

WD10JUCT	SATA 3 Gb/s	 1000.204		16	5400
WD5000LUCT	SATA 3 Gb/s	 500.107		16	5400
WD5000BUCT	SATA 3 Gb/s	 500.107		16	5400
WD3200BUCT	SATA 3 Gb/s	 320.072		16	5400
WD2500BUCT	SATA 3 Gb/s	 251.059		16	5400
WD1600BUCT	SATA 3 Gb/s	 160.041		16	5400

WD400BEAS	SATA 1.5 Gb/s	40.020		2	5400
WD600BEAS	SATA 1.5 Gb/s	60.022		2	5400
WD800BEAS	SATA 1.5 Gb/s	80.026		2	5400
WD1000BEAS	SATA 1.5 Gb/s	100.030		2	5400
WD1200BEAS	SATA 1.5 Gb/s	120.034		2	5400
WD1600BEAS	SATA 1.5 Gb/s	160.041		2	5400

WD400BEVS	SATA 1.5 Gb/s	40.020		8	5400
WD600BEVS	SATA 1.5 Gb/s	60.022		8	5400
WD800BEVS	SATA 1.5 Gb/s	80.026		8	5400
WD1000BEVS	SATA 1.5 Gb/s	100.030		8	5400
WD1200BEVS	SATA 1.5 Gb/s	120.034		8	5400
WD1600BEVS	SATA 1.5 Gb/s	160.041		8	5400
WD2500BEVS	SATA 1.5 Gb/s	250.059		8	5400

WD360GD		SATA 1.5 Gb/s	36.7		8	10000
WD740GD		SATA 3 Gb/s	 740			??	10000


WD800AVBS	SATA 3 Gb/s	80.026			2	7200
WD800AVJS	SATA 3 Gb/s	80.026			8	7200
WD1600AVBS	SATA 3 Gb/s	160.041			2	7200
WD1600AVJS	SATA 3 Gb/s	160.041			8	7200
WD2500AVBS	SATA 3 Gb/s	250.059			2	7200
WD2500AVJS	SATA 3 Gb/s	250.059			8	7200
WD3200AVBS	SATA 3 Gb/s	320.072			2	7200
WD3200AVJS	SATA 3 Gb/s	320.072			8	7200
WD5000AVJS	SATA 3 Gb/s	500.107			8	7200

WD5000AVKX	SATA 3 Gb/s	 500			16	7200
WD3200AVKX	SATA 3 Gb/s	 320			16	7200
WD2500AVKX	SATA 3 Gb/s	 250			16	7200
WD1600AVKX	SATA 3 Gb/s	 160			16	7200
WD800AVKX	SATA 3 Gb/s	  80			16	7200

WD5000BUDT	SATA 3 Gb/s	 500			32	5400
WD3200BUDT	SATA 3 Gb/s	 320			32	5400
WD2500BUDT	SATA 3 Gb/s	 250			32	5400
WD1600BVVT	SATA 3 Gb/s	 160			8	5400

WD5000AAKB	PATA 0.1 Gb/s	500.107		16	7200
WD800AAJB	PATA 0.1 Gb/s	80.026		8	7200
WD1600AAJB	PATA 0.1 Gb/s	160.041		8	7200
WD2500AAJB	PATA 0.1 Gb/s	250.059		8	7200
WD3200AAJB	PATA 0.1 Gb/s	320.072		8	7200

WD400JB		PATA 0.1 Gb/s	40.020		8	7200
WD600JB		PATA 0.1 Gb/s	60.022		8	7200
WD800JB		PATA 0.1 Gb/s	80.026		8	7200
WD1000JB	PATA 0.1 Gb/s	100.030		8	7200
WD1200JB	PATA 0.1 Gb/s	120.034		8	7200
WD1600JB	PATA 0.1 Gb/s	160.041		8	7200
WD1800JB	PATA 0.1 Gb/s	180.045		8	7200
WD2000JB	PATA 0.1 Gb/s	200.049		8	7200
WD2500JB	PATA 0.1 Gb/s	250.059		8	7200

WD3200BEVE	PATA 0.1 Gb/s	 320.072	8	5400
WD2500BEVE	PATA 0.1 Gb/s	 250.059	8	5400
WD1600BEVE	PATA 0.1 Gb/s	 160.041	8	5400
WD1200BEVE	PATA 0.1 Gb/s	 120.034	8	5400
WD800BEVE	PATA 0.1 Gb/s	  80.026	8	5400
WD600BEVE	PATA 0.1 Gb/s	  60.022	8	5400

WD1600SB	PATA 0.1 Gb/s	164.696		8	7200
WD2500SB	PATA 0.1 Gb/s	251			8	7200
WD3200SB	PATA 0.1 Gb/s	320.072		8	7200

WD200BB 	PATA 0.1 Gb/s	20.020		2	7200
WD400BB 	PATA 0.1 Gb/s	40.020		2	7200
WD600BB 	PATA 0.1 Gb/s	60.022		2	7200
WD800BB 	PATA 0.1 Gb/s	80.026		2	7200
WD1000BB	PATA 0.1 Gb/s	100.030		2	7200
WD1200BB	PATA 0.1 Gb/s	120.034		2	7200
WD1200LB	PATA 0.1 Gb/s	120.034		2	7200
WD1600BB	PATA 0.1 Gb/s	160.041		2	7200
WD1800BB	PATA 0.1 Gb/s	180.045		2	7200
WD1800LB	PATA 0.1 Gb/s	180.045		2	7200
WD2000BB	PATA 0.1 Gb/s	200.049		2	7200
WD2000LB	PATA 0.1 Gb/s	200.049		2	7200
WD2500BB	PATA 0.1 Gb/s	250.059		2	7200
WD2500LB	PATA 0.1 Gb/s	250.059		2	7200

WD400BEAE	PATA 0.1 Gb/s	40.020		2	5400
WD400UE 	PATA 0.1 Gb/s	40.020		2	5400
WD600UE 	PATA 0.1 Gb/s	60.022		2	5400
WD800BEAE	PATA 0.1 Gb/s	80.026		2	5400
WD800UE 	PATA 0.1 Gb/s	80.026		2	5400
WD1000UE	PATA 0.1 Gb/s	100.030		2	5400
WD1200BEAE	PATA 0.1 Gb/s	120.034		2	5400
WD1200UE	PATA 0.1 Gb/s	120.034		2	5400
WD1600BEAE	PATA 0.1 Gb/s	160.041		2	5400

WD400BEVE	PATA 0.1 Gb/s	40.020		8	5400
WD400VE 	PATA 0.1 Gb/s	40.020		8	5400
WD600VE 	PATA 0.1 Gb/s	60.022		8	5400
WD800VE 	PATA 0.1 Gb/s	80.026		8	5400
WD1000VE	PATA 0.1 Gb/s	100.030		8	5400
WD1200VE	PATA 0.1 Gb/s	120.034		8	5400

WD200EB 	PATA 0.1 Gb/s	20.020		2	5400
WD400EB 	PATA 0.1 Gb/s	40.020		2	5400
WD600EB 	PATA 0.1 Gb/s	60.022		2	5400
WD800EB 	PATA 0.1 Gb/s	80.026		2	5400
WD1200AB	PATA 0.1 Gb/s	120.034		2	5400
WD1600AB	PATA 0.1 Gb/s	160.041		2	5400

WD4000AAJB	PATA 0.1 Gb/s	400.088		8	7200
WD5000AAJB	PATA 0.1 Gb/s	500.107		8	7200

WD1600AABB	PATA 0.1 Gb/s	160.041		2	7200
WD4000AAKB	PATA 0.1 Gb/s	400.088		16	7200
WD3200AAKB	PATA 0.1 Gb/s	320.072		16	7200

WD800AVBB	PATA 0.1 Gb/s	80.026		2	7200
WD800AVJB	PATA 0.1 Gb/s	80.026		8	7200
WD1600AVBB	PATA 0.1 Gb/s	160.041		2	7200
WD1600AVJB	PATA 0.1 Gb/s	160.041		8	7200
WD2500AVBB	PATA 0.1 Gb/s	250.059		2	7200
WD2500AVJB	PATA 0.1 Gb/s	250.059		8	7200
WD3200AVBB	PATA 0.1 Gb/s	320.072		2	7200
WD3200AVJB	PATA 0.1 Gb/s	320.072		8	7200
WD5000AVJB	PATA 0.1 Gb/s	500.107		8	7200

#1000 GB WD10EVCS
